id;tipo;numero;cod_seguridad;fecha_vencimiento;monto_max
1;mobile Fish;Home Loan Account Table Computer;5808;45924;86617
2;Savings Account alarm;Tasty Metal Bacon;93855;21233;77
3;Officer;methodology Albania;43194;2306;29122
4;Investment Account Steel;Coordinator;23277;45606;9060
5;Savings Account syndicate Planner;Refined Rubber Chicken Table;6505;1326;94888
6;Planner cross-platform access;Public-key;24102;44015;68326
7;Investment Account;Games Regional Digitized;66252;75536;31171
8;Costa Rica Mayotte;Industrial;84228;77513;44975
9;e-enable Communications capacitor;Awesome;19598;52083;4522
10;software scale interactive;Louisiana Specialist Home Loan Account;27599;14092;29627
